IP,Date & Time (UTC),Page URL,Referral URL,URl Level 1,URl Level 2,URl Level 3,URl Level 4,URl Level 5,URL Extras
3.21.142.42,2025-02-01 00:24:29,/company/careers/sales-operations-analyst/,-,company,careers,sales-operations-analyst,,,
35.160.202.107,2025-02-01 00:24:29,/,-,,,,,,
185.138.164.9,2025-02-01 00:24:31,/knowledge-management-in-contact-centers/,-,knowledge-management-in-contact-centers,,,,,
3.134.102.226,2025-02-01 00:24:34,/company/news/press-releases/,-,company,news,press-releases,,,
185.138.164.9,2025-02-01 00:24:35,/egain-support/,-,egain-support,,,,,
13.59.86.218,2025-02-01 00:24:35,/blog/,-,blog,,,,,
13.59.86.218,2025-02-01 00:24:36,/blog/,-,blog,,,,,
185.138.164.9,2025-02-01 00:24:37,/best-knowledge-management-software-for-talkdesk-contact-center/,-,best-knowledge-management-software-for-talkdesk-contact-center,,,,,
3.136.161.218,2025-02-01 00:24:38,/company/investors/,-,company,investors,,,,
193.186.4.227,2025-02-01 00:24:38,/ivr-analytics/,https://www.google.com/,ivr-analytics,,,,,
5.62.156.126,2025-02-01 00:24:38,/,-,,,,,,
185.138.164.9,2025-02-01 00:24:40,/company/,-,company,,,,,
203.166.154.205,2025-02-01 00:24:40,/,-,,,,,,
5.62.158.155,2025-02-01 00:24:42,/,-,,,,,,
185.138.164.9,2025-02-01 00:24:42,/company/executive-team/,-,company,executive-team,,,,
185.138.164.9,2025-02-01 00:24:43,/company/board-of-directors/,-,company,board-of-directors,,,,
185.138.164.9,2025-02-01 00:24:44,/company/investors/,-,company,investors,,,,
83.229.59.168,2025-02-01 00:24:44,/,-,,,,,,
69.191.211.203,2025-02-01 00:24:44,/company/investors/,-,company,investors,,,,
83.229.118.37,2025-02-01 00:24:46,/,-,,,,,,
185.138.164.9,2025-02-01 00:24:47,/company/careers/,-,company,careers,,,,
185.138.164.9,2025-02-01 00:24:47,/company/investors/annual-reports/,-,company,investors,annual-reports,,,
185.138.164.9,2025-02-01 00:24:48,/company/locations/,-,company,locations,,,,
69.191.211.213,2025-02-01 00:25:14,/company/investors/,-,company,investors,,,,
137.184.62.96,2025-02-01 00:25:23,/,-,,,,,,
137.184.62.96,2025-02-01 00:25:23,/ai-coach-for-banking/,-,ai-coach-for-banking,,,,,
137.184.62.96,2025-02-01 00:25:24,/ai-knowledge-for-field-service/,-,ai-knowledge-for-field-service,,,,,
64.222.212.196,2025-02-01 00:25:24,/company/news/press_releases/egain-positioned-in-the-leaders-quadrant-of-the-magic-quadrant-for-crm-web-customer-service-applications/,-,company,news,press_releases,egain-positioned-in-the-leaders-quadrant-of-the-magic-quadrant-for-crm-web-customer-service-applications,,
137.184.62.96,2025-02-01 00:25:24,/ai-knowledge-hub/,-,ai-knowledge-hub,,,,,
64.222.212.196,2025-02-01 00:25:24,/company/news/press-releases/egain-positioned-in-the-leaders-quadrant-of-the-magic-quadrant-for-crm-web-customer-service-applications/,-,company,news,press-releases,egain-positioned-in-the-leaders-quadrant-of-the-magic-quadrant-for-crm-web-customer-service-applications,,
64.222.212.196,2025-02-01 00:25:24,/company/news/press-releases/,-,company,news,press-releases,,,
85.208.96.193,2025-02-01 00:25:34,/knowledge-management-in-utilities/,-,knowledge-management-in-utilities,,,,,
83.229.1.101,2025-02-01 00:25:38,/,-,,,,,,
217.113.194.149,2025-02-01 00:25:39,/what-is-kcs/,-,what-is-kcs,,,,,
209.99.133.120,2025-02-01 00:25:40,/,-,,,,,,
23.249.164.253,2025-02-01 00:25:42,/,-,,,,,,
206.41.176.159,2025-02-01 00:25:44,/,-,,,,,,
69.191.211.201,2025-02-01 00:25:45,/company/investors/,-,company,investors,,,,
23.249.163.179,2025-02-01 00:25:46,/,-,,,,,,
69.191.211.206,2025-02-01 00:26:15,/company/investors/,-,company,investors,,,,
83.229.0.45,2025-02-01 00:26:39,/,-,,,,,,
3.21.142.42,2025-02-01 00:26:39,/company/careers/senior-software-development-engineer/,-,company,careers,senior-software-development-engineer,,,
209.242.223.110,2025-02-01 00:26:41,/,-,,,,,,
194.126.194.178,2025-02-01 00:26:43,/,-,,,,,,
162.249.167.195,2025-02-01 00:26:45,/,-,,,,,,
69.191.211.212,2025-02-01 00:26:45,/company/investors/,-,company,investors,,,,
3.128.63.195,2025-02-01 00:26:46,/company/careers/visual-designer/,-,company,careers,visual-designer,,,
203.166.149.225,2025-02-01 00:26:47,/,-,,,,,,
52.39.100.237,2025-02-01 00:26:54,/company/careers/visual-designer/,-,company,careers,visual-designer,,,
3.21.142.42,2025-02-01 00:26:55,/company/careers/visual-designer/,-,company,careers,visual-designer,,,
34.213.174.241,2025-02-01 00:27:12,/company/careers/solution-success-analyst/,-,company,careers,solution-success-analyst,,,
3.128.63.195,2025-02-01 00:27:12,/company/careers/solution-success-analyst/,-,company,careers,solution-success-analyst,,,
69.191.211.202,2025-02-01 00:27:15,/company/investors/,-,company,investors,,,,
18.219.101.101,2025-02-01 00:27:35,/company/careers/office-manager/,-,company,careers,office-manager,,,
23.249.161.163,2025-02-01 00:27:39,/,-,,,,,,
172.56.46.158,2025-02-01 00:27:40,/,https://www.google.com/,,,,,,
83.229.1.64,2025-02-01 00:27:41,/,-,,,,,,
5.62.156.37,2025-02-01 00:27:43,/,-,,,,,,
69.191.211.219,2025-02-01 00:27:45,/company/investors/,-,company,investors,,,,
217.194.152.1,2025-02-01 00:27:46,/,-,,,,,,
136.226.81.16,2025-02-01 00:27:48,/company/events/,-,company,events,,,,
5.62.156.63,2025-02-01 00:27:49,/,-,,,,,,
85.208.98.198,2025-02-01 00:28:08,/solutions/insurance/,-,solutions,insurance,,,,
85.208.98.198,2025-02-01 00:28:08,/company/news/press_releases/egain-positioned-in-the-leaders-quadrant-of-the-magic-quadrant-for-crm-web-customer-service-applications,-,company,news,press_releases,egain-positioned-in-the-leaders-quadrant-of-the-magic-quadrant-for-crm-web-customer-service-applications,,
85.208.98.198,2025-02-01 00:28:13,/,-,,,,,,
69.191.211.218,2025-02-01 00:28:16,/company/investors/,-,company,investors,,,,
85.217.191.94,2025-02-01 00:28:39,/,-,,,,,,
209.99.171.193,2025-02-01 00:28:41,/,-,,,,,,
203.166.156.232,2025-02-01 00:28:43,/,-,,,,,,
83.229.114.120,2025-02-01 00:28:45,/,-,,,,,,
69.191.211.201,2025-02-01 00:28:46,/company/investors/,-,company,investors,,,,
5.62.153.150,2025-02-01 00:28:46,/,-,,,,,,
176.100.243.133,2025-02-01 00:28:47,/blog/use-cases-generative-ai-cx-ex/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=usecases_0130_na_fw&uid=4f88c1a7-eb21-ec11-b6e5-00224824a799,-,blog,use-cases-generative-ai-cx-ex,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=usecases_0130_na_fw&uid=4f88c1a7-eb21-ec11-b6e5-00224824a799,,,
66.249.66.23,2025-02-01 00:28:48,/ai-knowledge-for-field-service/,-,ai-knowledge-for-field-service,,,,,
157.55.39.15,2025-02-01 00:28:54,/blog/jobdata_city/northeast-usa/,-,blog,jobdata_city,northeast-usa,,,
69.191.211.214,2025-02-01 00:29:16,/company/investors/,-,company,investors,,,,
35.160.202.107,2025-02-01 00:29:30,/,-,,,,,,
5.62.154.174,2025-02-01 00:29:39,/,-,,,,,,
83.229.110.37,2025-02-01 00:29:40,/,-,,,,,,
209.242.223.85,2025-02-01 00:29:42,/,-,,,,,,
78.138.41.109,2025-02-01 00:29:45,/,-,,,,,,
69.191.211.212,2025-02-01 00:29:46,/company/investors/,-,company,investors,,,,
83.229.118.198,2025-02-01 00:29:47,/,-,,,,,,
68.123.8.102,2025-02-01 00:30:01,/company/,https://www.egain.com/,company,,,,,
162.209.124.98,2025-02-01 00:30:02,/company/events/,-,company,events,,,,
162.209.124.98,2025-02-01 00:30:04,/company/events/,-,company,events,,,,
69.191.211.219,2025-02-01 00:30:17,/company/investors/,-,company,investors,,,,
217.113.194.144,2025-02-01 00:30:19,/what-is-self-service/,-,what-is-self-service,,,,,
176.111.172.82,2025-02-01 00:30:39,/,-,,,,,,
5.62.152.136,2025-02-01 00:30:40,/,-,,,,,,
162.249.165.119,2025-02-01 00:30:42,/,-,,,,,,
162.249.167.172,2025-02-01 00:30:44,/,-,,,,,,
206.41.187.238,2025-02-01 00:30:46,/,-,,,,,,
69.191.211.219,2025-02-01 00:30:47,/company/investors/,-,company,investors,,,,
52.186.35.38,2025-02-01 00:30:53,/company/executive-team/,-,company,executive-team,,,,
52.186.35.38,2025-02-01 00:30:53,/company/executive-team/,-,company,executive-team,,,,
3.98.194.109,2025-02-01 00:31:06,/company/careers/solution-success-analyst/,-,company,careers,solution-success-analyst,,,
69.191.211.219,2025-02-01 00:31:17,/company/investors/,-,company,investors,,,,
45.77.146.191,2025-02-01 00:31:18,/company/investors/,-,company,investors,,,,
45.77.146.191,2025-02-01 00:31:18,/company/annual-reports/,-,company,annual-reports,,,,
45.77.146.191,2025-02-01 00:31:19,/company/investors/annual-reports/,-,company,investors,annual-reports,,,
45.77.146.191,2025-02-01 00:31:19,/company/events/,-,company,events,,,,
193.186.4.207,2025-02-01 00:31:24,/what-is-digital-customer-experience-and-why-it-is-important/,https://www.google.com/,what-is-digital-customer-experience-and-why-it-is-important,,,,,
83.229.92.42,2025-02-01 00:31:39,/,-,,,,,,
83.229.27.119,2025-02-01 00:31:41,/,-,,,,,,
23.249.174.162,2025-02-01 00:31:43,/,-,,,,,,
18.220.193.86,2025-02-01 00:31:43,/company/news/press-releases/,-,company,news,press-releases,,,
83.229.58.75,2025-02-01 00:31:45,/,-,,,,,,
217.194.136.166,2025-02-01 00:31:47,/,-,,,,,,
69.191.211.207,2025-02-01 00:31:47,/company/investors/,-,company,investors,,,,
69.191.211.207,2025-02-01 00:32:18,/company/investors/,-,company,investors,,,,
83.229.37.141,2025-02-01 00:32:39,/,-,,,,,,
162.249.167.167,2025-02-01 00:32:41,/,-,,,,,,
217.194.139.165,2025-02-01 00:32:43,/,-,,,,,,
203.166.157.133,2025-02-01 00:32:45,/,-,,,,,,
209.99.169.129,2025-02-01 00:32:47,/,-,,,,,,
69.191.211.214,2025-02-01 00:32:48,/company/investors/,-,company,investors,,,,
35.94.235.11,2025-02-01 00:33:03,/company/news/feed/,-,company,news,feed,,,
35.94.235.11,2025-02-01 00:33:07,/company/news/feed/,-,company,news,feed,,,
85.208.96.208,2025-02-01 00:33:16,/experience-success-webinars-real-world-stories-in-cx-ax-and-ex-transformation/,-,experience-success-webinars-real-world-stories-in-cx-ax-and-ex-transformation,,,,,
69.191.211.201,2025-02-01 00:33:18,/company/investors/,-,company,investors,,,,
165.225.243.2,2025-02-01 00:33:21,/,-,,,,,,
165.225.243.2,2025-02-01 00:33:22,/,-,,,,,,
209.99.169.80,2025-02-01 00:33:38,/,-,,,,,,
209.99.168.165,2025-02-01 00:33:40,/,-,,,,,,
209.99.168.40,2025-02-01 00:33:42,/,-,,,,,,
176.111.172.209,2025-02-01 00:33:44,/,-,,,,,,
203.166.146.182,2025-02-01 00:33:46,/,-,,,,,,
69.191.211.215,2025-02-01 00:33:49,/company/investors/,-,company,investors,,,,
18.119.122.245,2025-02-01 00:34:01,/contact-us/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2,-,contact-us,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2,,,,
18.221.235.110,2025-02-01 00:34:01,/contact-us/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2,-,contact-us,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2,,,,
107.178.194.67,2025-02-01 00:34:02,/contact-us/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2,http://www.egain.com,contact-us,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2,,,,
34.86.212.119,2025-02-01 00:34:06,/contact-us/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2,-,contact-us,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2,,,,
23.108.254.177,2025-02-01 00:34:07,/copyright/,-,copyright,,,,,
23.108.254.177,2025-02-01 00:34:08,/knowledge-management-in-it/,https://www.egain.com/copyright/,knowledge-management-in-it,,,,,
107.178.194.67,2025-02-01 00:34:11,/contact-us/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2,http://www.egain.com,contact-us,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2,,,,
107.178.194.68,2025-02-01 00:34:13,/contact-us/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,http://www.egain.com,contact-us,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2,cdn-cgi,scripts,5c5dd728,cloudflare-static/email-decode.min.js
107.178.194.69,2025-02-01 00:34:14,/contact-us/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,http://www.egain.com,contact-us,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3_0128_emeafw&uid=01c863da-7591-ef11-ac21-0022482cdce2,cdn-cgi,scripts,5c5dd728,cloudflare-static/email-decode.min.js
69.191.211.217,2025-02-01 00:34:19,/company/investors/,-,company,investors,,,,
35.160.202.107,2025-02-01 00:34:29,/,-,,,,,,
91.90.143.7,2025-02-01 00:34:32,/,-,,,,,,
217.113.194.143,2025-02-01 00:34:36,/blog/author/john/,-,blog,author,john,,,
78.138.41.228,2025-02-01 00:34:38,/,-,,,,,,
176.100.243.133,2025-02-01 00:34:40,/contact-us/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3fw_0128_na&uid=776852a7-00d5-eb11-8235-0022481ff34f,-,contact-us,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=email3fw_0128_na&uid=776852a7-00d5-eb11-8235-0022481ff34f,,,,
83.229.36.97,2025-02-01 00:34:41,/,-,,,,,,
162.249.167.8,2025-02-01 00:34:42,/,-,,,,,,
23.249.164.126,2025-02-01 00:34:45,/,-,,,,,,
185.191.171.13,2025-02-01 00:34:46,/company/news/press-releases/egain-knowledge-hub-now-available-on-five9-cx-marketplace/,-,company,news,press-releases,egain-knowledge-hub-now-available-on-five9-cx-marketplace,,
5.62.154.248,2025-02-01 00:34:46,/,-,,,,,,
69.191.211.202,2025-02-01 00:34:49,/company/investors/,-,company,investors,,,,
52.26.161.96,2025-02-01 00:35:09,/company/careers/senior-software-development-engineer/,-,company,careers,senior-software-development-engineer,,,
69.191.211.217,2025-02-01 00:35:19,/company/investors/,-,company,investors,,,,
217.194.137.162,2025-02-01 00:35:39,/,-,,,,,,
162.249.166.76,2025-02-01 00:35:41,/,-,,,,,,
213.255.204.183,2025-02-01 00:35:43,/,-,,,,,,
209.99.170.91,2025-02-01 00:35:45,/,-,,,,,,
83.229.114.173,2025-02-01 00:35:47,/,-,,,,,,
69.191.211.210,2025-02-01 00:35:49,/company/investors/,-,company,investors,,,,
81.169.144.135,2025-02-01 00:35:50,/,https://www.google.de/,,,,,,
178.24.150.146,2025-02-01 00:35:51,/,https://www.google.de/,,,,,,
51.8.155.61,2025-02-01 00:35:59,/what-is-knowledge-management-system/,-,what-is-knowledge-management-system,,,,,
40.84.221.220,2025-02-01 00:36:15,/knowledge-management-system-examples/,-,knowledge-management-system-examples,,,,,
40.84.221.220,2025-02-01 00:36:16,/what-are-knowledge-management-system-examples/,-,what-are-knowledge-management-system-examples,,,,,
35.193.190.109,2025-02-01 00:36:16,/company/investors/proxy-statement-and-annual-report/,-,company,investors,proxy-statement-and-annual-report,,,
69.191.211.210,2025-02-01 00:36:20,/company/investors/,-,company,investors,,,,
193.186.4.199,2025-02-01 00:36:28,/ivr-analytics/,https://www.google.com/,ivr-analytics,,,,,
18.218.37.251,2025-02-01 00:36:39,/blog/use-cases-generative-ai-cx-ex/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=usecases_0130_na_fw&uid=c9a72c5e-f7a3-ee11-be37-0022482cd3d0,-,blog,use-cases-generative-ai-cx-ex,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=usecases_0130_na_fw&uid=c9a72c5e-f7a3-ee11-be37-0022482cd3d0,,,
3.138.124.57,2025-02-01 00:36:39,/blog/use-cases-generative-ai-cx-ex/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=usecases_0130_na_fw&uid=c9a72c5e-f7a3-ee11-be37-0022482cd3d0,-,blog,use-cases-generative-ai-cx-ex,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=usecases_0130_na_fw&uid=c9a72c5e-f7a3-ee11-be37-0022482cd3d0,,,
34.71.214.216,2025-02-01 00:36:40,/blog/use-cases-generative-ai-cx-ex/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=usecases_0130_na_fw&uid=c9a72c5e-f7a3-ee11-be37-0022482cd3d0,-,blog,use-cases-generative-ai-cx-ex,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=usecases_0130_na_fw&uid=c9a72c5e-f7a3-ee11-be37-0022482cd3d0,,,
194.126.194.255,2025-02-01 00:36:40,/,-,,,,,,
162.249.166.59,2025-02-01 00:36:40,/,-,,,,,,
23.249.174.183,2025-02-01 00:36:43,/,-,,,,,,
3.84.103.155,2025-02-01 00:36:44,/blog/use-cases-generative-ai-cx-ex/?utm_source=1on1&utm_medium=marketing-email&utm_campaign=usecases_0130_na_fw&uid=c9a72c5e-f7a3-ee11-be37-0022482cd3d0,-,blog,use-cases-generative-ai-cx-ex,?utm_source=1on1&utm_medium=marketing-email&utm_campaign=usecases_0130_na_fw&uid=c9a72c5e-f7a3-ee11-be37-0022482cd3d0,,,
